"","Suburb","Address","Rooms","Type","Price","Method","SellerG","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude"
"6549","Maribyrnong","3 Village Wy",4,"h",979888,"S","Nelson","4/03/2017",8.7,3032,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6550","Maribyrnong","29 Lakeside Cr",4,"h",1650000,"VB","Biggin","4/06/2016",8.7,3032,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6553","Maribyrnong","18 Blair St",3,"t",550000,"SP","Biggin","7/05/2016",8.7,3032,3,2,2,77,138,2000,"Maribyrnong",-37.7743,144.8797
"6555","Maribyrnong","2a Hillside Cr",2,"t",345000,"PI","Hodges","7/05/2016",8.7,3032,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6556","Maribyrnong","8/10 Middle Rd",2,"h",399000,"S","Raine","7/05/2016",8.7,3032,2,1,1,904,53,1985,"Maribyrnong",-37.7679,144.8935
"6557","Maribyrnong","3 Valnere St",4,"h",940000,"SP","Biggin","7/05/2016",8.7,3032,4,2,1,516,146.861538586252,1970,"Maribyrnong",-37.7839,144.8853
"6558","Maribyrnong","19 Warrs Rd",3,"h",1105000,"S","Nelson","7/05/2016",8.7,3032,3,1,4,762,142,1950,"Maribyrnong",-37.7707,144.8924
"6559","Maribyrnong","5 Kallara Gr",3,"t",730000,"S","Nelson","7/11/2016",8.7,3032,3,1,2,250,132,2000,"Maribyrnong",-37.7861,144.8897
"6560","Maribyrnong","3/41 Pridham St",2,"u",425000,"S","Trimson","7/11/2016",8.7,3032,2,1,1,170,146.861538586252,1970,"Maribyrnong",-37.7818,144.8859
"6561","Maribyrnong","3/6 Randall St",3,"u",662500,"S","Rendina","7/11/2016",8.7,3032,3,2,2,202,121,2006,"Maribyrnong",-37.768,144.8894
"6562","Maribyrnong","31 Hillsdale Av",3,"h",700000,"S","Nelson","8/10/2016",8.7,3032,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6563","Maribyrnong","3 Lakeside Cr",3,"h",1275000,"S","Edward","8/10/2016",8.7,3032,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6564","Maribyrnong","41 River St",3,"h",986500,"S","Biggin","8/10/2016",8.7,3032,3,1,1,629,146.861538586252,1970,"Maribyrnong",-37.7798,144.8872
"6565","Maribyrnong","8/10 Anglers Wy",1,"u",260000,"PI","Brad","10/09/2016",8.7,3032,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6566","Maribyrnong","44 Blair St",2,"t",410000,"S","Biggin","10/09/2016",8.7,3032,2,1,2,53,71,2000,"Maribyrnong",-37.7736,144.8798
"6568","Maribyrnong","28 Kellaway St",3,"h",920000,"SP","Biggin","10/09/2016",8.7,3032,3,1,2,689,110,1920,"Maribyrnong",-37.7823,144.887
"6569","Maribyrnong","33 Newstead St",3,"h",1320000,"S","Nelson","10/09/2016",8.7,3032,3,2,2,645,211,1900,"Maribyrnong",-37.7662,144.8971
"6571","Maribyrnong","9 Rylie La",3,"h",680000,"SP","Biggin","10/09/2016",8.7,3032,3,2,2,225,146.861538586252,1970,"Maribyrnong",-37.7699,144.8791
"6574","Maribyrnong","7/3 Ensign St",2,"u",330000,"SP","Biggin","10/12/2016",8.7,3032,2,1,1,950,146.861538586252,1970,"Maribyrnong",-37.7665,144.9004
"6576","Maribyrnong","1/97 Raleigh Rd",1,"u",277500,"SP","Sweeney","10/12/2016",8.7,3032,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6577","Maribyrnong","4/9 Warrs Rd",2,"h",637000,"S","RT","10/12/2016",8.7,3032,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6578","Maribyrnong","455 Gordon St",3,"t",1011000,"S","Greg","11/02/2017",8.7,3032,3,2,2,225,146.861538586252,1970,"Maribyrnong",-37.7867,144.8906
"6579","Maribyrnong","1/9 Warrs Rd",3,"h",840000,"S","hockingstuart","11/03/2017",8.7,3032,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6580","Maribyrnong","8/7 Grandview Av",2,"t",370000,"PI","Nelson","12/06/2016",8.7,3032,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6581","Maribyrnong","2/7 Bloomfield Av",3,"t",1151000,"S","Barry","12/11/2016",8.7,3032,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6582","Maribyrnong","2/1 Grandview Av",2,"t",370000,"PI","Hodges","12/11/2016",8.7,3032,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6583","Maribyrnong","23/14 Horizon Dr",2,"t",580000,"VB","Brad","12/11/2016",8.7,3032,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6585","Maribyrnong","12 Marin La",3,"h",847000,"S","Nelson","12/11/2016",8.7,3032,3,2,2,222,200,2002,"Maribyrnong",-37.7697,144.878
"6588","Maribyrnong","23/14 Horizon Dr",2,"t",620000,"VB","Brad","13/08/2016",8.7,3032,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6590","Maribyrnong","9 Dale St",4,"h",1100000,"PI","Nelson","14/05/2016",8.7,3032,4,2,2,586,146.861538586252,1970,"Maribyrnong",-37.7648,144.8881
"6595","Maribyrnong","4/105 Raleigh Rd",2,"t",510000,"PI","Redina","14/05/2016",8.7,3032,2,2,1,176,142,2010,"Maribyrnong",-37.7693,144.8905
"6596","Maribyrnong","17 Ribbony Wk",3,"t",440000,"PI","Raine","14/05/2016",8.7,3032,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6598","Maribyrnong","102/64 Wests Rd",2,"u",460000,"SP","Jellis","15/10/2016",8.7,3032,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6599","Maribyrnong","112 Edgewater Bvd",3,"t",865000,"PI","Clairmont","16/04/2016",8.7,3032,3,2,2,151,3,2010,"Maribyrnong",-37.7855,144.8958
"6601","Maribyrnong","5 Lyric St",4,"h",940000,"S","GL","16/04/2016",8.7,3032,4,2,1,325,146.861538586252,2004,"Maribyrnong",-37.7822,144.892
"6602","Maribyrnong","3/26 Middle Rd",2,"t",570000,"S","Jas","16/04/2016",8.7,3032,3,1,2,98,128,2009,"Maribyrnong",-37.7677,144.8925
"6606","Maribyrnong","3 Rimfire Wk",3,"t",500000,"S","Brad","16/07/2016",8.7,3032,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6609","Maribyrnong","20/9 Fabian Ct",2,"t",429000,"S","Trimson","18/03/2017",8.7,3032,2,1,1,83,88,1980,"Maribyrnong",-37.7732,144.8927
"6612","Maribyrnong","1 Nayook La",3,"t",820000,"VB","Biggin","18/03/2017",8.7,3032,3,2,2,275,146.861538586252,1970,"Maribyrnong",-37.7719,144.8767
"6616","Maribyrnong","19/9 Fabian Ct",2,"t",408000,"S","Nelson","18/06/2016",8.7,3032,2,1,1,85,84,1980,"Maribyrnong",-37.7732,144.8927
"6617","Maribyrnong","37 Skyline Dr",4,"h",1040000,"S","Biggin","18/06/2016",8.7,3032,4,3,2,298,146.861538586252,1970,"Maribyrnong",-37.7858,144.8937
"6618","Maribyrnong","6 Vista Ri",4,"h",1015000,"S","Rendina","18/06/2016",8.7,3032,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6620","Maribyrnong","101 Raleigh Rd",3,"h",1460000,"S","Woodards","19/11/2016",8.7,3032,3,1,2,926,146.861538586252,1970,"Maribyrnong",-37.769,144.8909
"6621","Maribyrnong","6/4 Belvedere Cl",3,"h",780000,"VB","Nelson","22/05/2016",8.7,3032,3,3,2,173,184,2000,"Maribyrnong",-37.773,144.8947
"6622","Maribyrnong","31 Forge Cl",3,"t",675000,"SP","First","22/05/2016",8.7,3032,3,2,2,210,146.861538586252,1970,"Maribyrnong",-37.7732,144.879
"6625","Maribyrnong","28 Blair St",2,"t",440000,"PI","Rendina","22/08/2016",8.7,3032,2,1,2,54,85,2000,"Maribyrnong",-37.774,144.8797
"6626","Maribyrnong","10a Wardell Cl",3,"t",640000,"VB","Biggin","22/08/2016",8.7,3032,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6627","Maribyrnong","16 Amarco Cr",4,"h",880000,"SP","Biggin","23/04/2016",8.7,3032,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6628","Maribyrnong","2 Murnong St",4,"h",1048700,"SP","Brad","23/04/2016",8.7,3032,3,2,2,452,245,1999,"Maribyrnong",-37.774,144.877
"6629","Maribyrnong","28 Blair St",2,"t",400000,"PI","Rendina","24/09/2016",8.7,3032,2,1,2,54,85,2000,"Maribyrnong",-37.774,144.8797
"6630","Maribyrnong","33 River St",4,"h",1215000,"S","Raine","24/09/2016",8.7,3032,4,3,4,613,142,1950,"Maribyrnong",-37.7799,144.8879
"6631","Maribyrnong","23 Duffy St",4,"h",1180000,"SP","Maddison","25/02/2017",8.7,3032,4,3,2,688,166,1960,"Maribyrnong",-37.7713,144.8937
"6632","Maribyrnong","9 Lyric St",4,"h",1117000,"S","Sweeney","25/02/2017",8.7,3032,4,3,2,325,207,2005,"Maribyrnong",-37.7822,144.8922
"6635","Maribyrnong","404/77 Village Wy",3,"u",600000,"SP","Biggin","25/02/2017",8.7,3032,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6636","Maribyrnong","329 Gordon St",4,"h",770000,"SP","Jas","26/07/2016",8.7,3032,4,2,2,215,231,2000,"Maribyrnong",-37.7817,144.8916
"6638","Maribyrnong","34 Mitchell St",3,"h",905000,"S","Biggin","27/06/2016",8.7,3032,3,1,2,696,146.861538586252,1970,"Maribyrnong",-37.7832,144.8864
"6640","Maribyrnong","10 Amarco Cr",3,"h",805000,"S","RT","27/11/2016",8.7,3032,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6641","Maribyrnong","17 Bloomfield Av",3,"h",1540000,"S","Biggin","27/11/2016",8.7,3032,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6642","Maribyrnong","66 Raleigh Rd",3,"h",907000,"S","Raine","27/11/2016",8.7,3032,3,1,2,678,124,1950,"Maribyrnong",-37.769,144.8935
"6644","Maribyrnong","26 Waterford Av",3,"t",725000,"S","Biggin","27/11/2016",8.7,3032,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6645","Maribyrnong","75 Edgewater Bvd",3,"h",820000,"PI","Biggin","28/05/2016",8.7,3032,3,2,2,203,160,2006,"Maribyrnong",-37.7853,144.8972
"6646","Maribyrnong","39 Kellaway St",3,"h",940000,"S","Jas","28/05/2016",8.7,3032,3,1,1,695,141,1940,"Maribyrnong",-37.7825,144.886
"6647","Maribyrnong","10 Lakeside Cr",3,"t",1150000,"PI","Rendina","28/05/2016",8.7,3032,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6648","Maribyrnong","31 Monash St",4,"h",1030000,"S","Jas","28/05/2016",8.7,3032,4,2,1,573,196,1925,"Maribyrnong",-37.7844,144.8876
"6651","Maribyrnong","6 Ibis Pl",4,"h",1230000,"SP","Biggin","28/08/2016",8.7,3032,3,3,2,270,215,2009,"Maribyrnong",-37.7847,144.8962
"6652","Maribyrnong","31 Allara Av",4,"h",720000,"S","Ray","30/07/2016",8.7,3032,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6653","Maribyrnong","90 Blair St",3,"h",460000,"VB","Nelson","30/07/2016",8.7,3032,3,2,1,95,146.861538586252,2001,"Maribyrnong",-37.772,144.8801
"6654","Maribyrnong","12 Ibis Pl",3,"h",884500,"S","Jellis","30/07/2016",8.7,3032,3,2,2,211,234,2005,"Maribyrnong",-37.7848,144.8969
"6655","Maribyrnong","34 MacEdon St",3,"h",1010000,"S","Biggin","30/07/2016",8.7,3032,3,1,1,594,146.861538586252,1940,"Maribyrnong",-37.7804,144.8878
"6656","Maribyrnong","19 Mitchell St",3,"h",820000,"VB","Biggin","30/07/2016",8.7,3032,3,1,4,539,146.861538586252,1970,"Maribyrnong",-37.7837,144.8888
"6657","Maribyrnong","21 Mitchell St",3,"h",820000,"VB","Biggin","30/07/2016",8.7,3032,3,1,4,578,176,2006,"Maribyrnong",-37.7837,144.8887
"6660","Melbourne","605/55 Queens Rd",1,"u",400000,"PI","RT","3/09/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6661","Melbourne","318/9 Commercial Rd",1,"u",365000,"S","hockingstuart","3/12/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6663","Melbourne","173/350 St Kilda Rd",2,"u",1200000,"VB","Marshall","3/12/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6664","Melbourne","709/480 St Kilda Rd",2,"u",520000,"VB","Lucas","4/02/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6666","Melbourne","203/350 La Trobe St",3,"u",940000,"VB","hockingstuart","4/03/2017",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6668","Melbourne","702/598 St Kilda Rd",3,"u",1525000,"S","Marshall","4/03/2017",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6671","Melbourne","1707/8 Franklin St",2,"u",595000,"SP","Greg","4/06/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6672","Melbourne","2/30 Queens Rd",1,"u",370000,"VB","Buxton","4/06/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6673","Melbourne","121/461 St Kilda Rd",2,"u",2138000,"S","Rodney","4/06/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6674","Melbourne","184/461 St Kilda Rd",3,"u",2030000,"S","Marshall","4/06/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6681","Melbourne","1205/480 St Kilda Rd",3,"u",860000,"PI","Marshall","7/05/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6682","Melbourne","807/582 St Kilda Rd",3,"u",1275000,"S","Jellis","7/05/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6687","Melbourne","16/30 Queens Rd",1,"u",395000,"S","hockingstuart","7/11/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6688","Melbourne","83/416 St Kilda Rd",3,"u",610000,"VB","hockingstuart","7/11/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6689","Melbourne","1701/594 St Kilda Rd",3,"u",1470000,"VB","Nelson","7/11/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6691","Melbourne","608/547 Flinders La",2,"u",370000,"S","MICM","8/10/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6692","Melbourne","719/55 Queens Rd",1,"u",390000,"VB","hockingstuart","8/10/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6693","Melbourne","1011/74 Queens Rd",1,"u",270000,"PI","Dingle","8/10/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6696","Melbourne","101/505 St Kilda Rd",2,"u",1050000,"PI","Dingle","10/09/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6703","Melbourne","404/539 St Kilda Rd",2,"u",570000,"S","Dingle","12/11/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6705","Melbourne","1204/82 Queens Rd",2,"u",585000,"PI","Jellis","13/08/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6710","Melbourne","505/83 Queens Rd",2,"u",545000,"SP","Rendina","14/05/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6711","Melbourne","131/1 Albert Rd",1,"u",500000,"VB","Cayzer","15/10/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6714","Melbourne","12/18 Queens Rd",2,"u",600000,"PI","Williams","15/10/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6717","Melbourne","1610/83 Queens Rd",1,"u",435000,"SP","hockingstuart","15/10/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6718","Melbourne","703/610 St Kilda Rd",2,"u",363500,"S","Gary","15/10/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6719","Melbourne","1104/582 St Kilda Rd",2,"u",750000,"PI","Kay","16/04/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6721","Melbourne","330/67 Spencer St",2,"u",1016000,"S","Kay","16/07/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6722","Melbourne","301/442 St Kilda Rd",2,"u",505000,"S","Williams","16/07/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6726","Melbourne","10/628 St Kilda Rd",2,"u",796000,"S","Buxton","17/09/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6729","Melbourne","506/70 Queens Rd",1,"u",390000,"VB","MICM","18/03/2017",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6733","Melbourne","101/461 St Kilda Rd",3,"u",1400000,"PI","Marshall","18/06/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6738","Melbourne","1018/422 Collins St",2,"u",692000,"S","Greg","22/05/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6740","Melbourne","1104/55 Queens Rd",2,"u",670000,"VB","Gary","22/05/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6743","Melbourne","101/55 Queens Rd",2,"u",595000,"S","Biggin","23/04/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6744","Melbourne","12/73 Queens Rd",2,"u",620000,"S","Kay","23/04/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6747","Melbourne","204/368 Little Collins St",1,"u",375000,"S","Dingle","24/09/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6748","Melbourne","310/74 Queens Rd",2,"u",426000,"PI","Gary","24/09/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6749","Melbourne","1302/454 St Kilda Rd",3,"u",1505000,"S","RT","24/09/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6751","Melbourne","9/73 Queens Rd",3,"u",938000,"S","RT","25/02/2017",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6755","Melbourne","420/539 St Kilda Rd",1,"u",357500,"S","hockingstuart","27/11/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6758","Melbourne","215/422 Collins St",2,"u",720000,"S","Greg","28/05/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6762","Melbourne","103/565 Flinders St",2,"u",360000,"VB","Dingle","28/08/2016",2.8,3000,1,1,1,1136,69,2009,"Melbourne",-37.8211,144.9559
"6763","Melbourne","74/431 St Kilda Rd",1,"u",435000,"S","Dingle","28/08/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6766","Melbourne","18/539 St Kilda Rd",1,"u",510000,"SP","Greg","30/07/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6767","Melbourne","1007/594 St Kilda Rd",2,"u",607000,"S","Gary","30/07/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6768","Melbourne","96/632 St Kilda Rd",3,"u",705000,"SP","hockingstuart","30/07/2016",2.8,3000,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6773","Middle Park","2/61 Canterbury Rd",2,"u",535000,"S","hockingstuart","4/06/2016",4.1,3206,2,1,1,760,58,1930,"Port Phillip",-37.8474,144.9625
"6777","Middle Park","12 Langridge St",3,"h",2227000,"S","Greg","10/12/2016",4.1,3206,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6778","Middle Park","15 McGregor St",2,"h",1690000,"VB","Buxton","13/08/2016",4.1,3206,2,1,1,145,146.861538586252,1970,"Port Phillip",-37.852,144.9654
"6779","Middle Park","81 Carter St",2,"h",1020000,"S","Cayzer","14/05/2016",4.1,3206,2,1,1,107,146.861538586252,1900,"Port Phillip",-37.8468,144.9612
"6796","Middle Park","141 Richardson St",3,"h",1910000,"PI","Greg","28/08/2016",4.1,3206,3,1,3,217,125,1900,"Port Phillip",-37.8474,144.9582
"6798","Mont Albert","371 Elgar Rd",2,"h",1320000,"SP","Lindellas","3/09/2016",11.8,3127,2,1,1,613,115,1950,"Whitehorse",-37.8238,145.1135
"6803","Mont Albert","71 Victoria Cr",4,"h",1666000,"S","Jellis","4/06/2016",11.8,3127,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6806","Mont Albert","3/7 Leopold Cr",2,"u",768000,"S","Fletchers","10/09/2016",11.8,3127,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6809","Mont Albert","33a Kingsley Cr",2,"u",1150000,"S","Jellis","10/12/2016",11.8,3127,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6810","Mont Albert","7 Kingsley Cr",3,"h",1901000,"S","Noel","10/12/2016",11.8,3127,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6814","Mont Albert","9 Carlyle Cr",4,"h",2100000,"VB","Marshall","13/08/2016",11.8,3127,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6816","Mont Albert","42 View St",4,"h",2200000,"S","Jellis","13/08/2016",11.8,3127,4,2,2,931,199,1930,"Whitehorse",-37.8226,145.1103
"6818","Mont Albert","4/1 Nangnak La",2,"t",660000,"PI","Changing","14/05/2016",11.8,3127,2,2,1,146,146.861538586252,1970,"Whitehorse",-37.8157,145.1101
"6819","Mont Albert","7/27 High St",3,"t",1310000,"S","Fletchers","15/10/2016",11.8,3127,3,2,2,330,148,2001,"Whitehorse",-37.8167,145.107
"6822","Mont Albert","10 Zetland Rd",3,"h",1355000,"S","Jellis","17/09/2016",11.8,3127,3,1,1,469.181403665624,146.861538586252,1970,NA,-37.8172,145.1083
"6828","Mont Albert","55 View St",4,"h",2000000,"S","Fletchers","18/06/2016",11.8,3127,3,2,1,626,146.861538586252,1929,"Whitehorse",-37.8197,145.1106
"6829","Mont Albert","3/18 Louise Av",2,"u",625000,"PI","Marshall","19/11/2016",11.8,3127,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6831","Mont Albert","2/82 Victoria Cr",2,"u",626000,"S","Jellis","19/11/2016",11.8,3127,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6834","Mont Albert","7/86 Victoria Cr",3,"t",870000,"S","Noel","22/08/2016",11.8,3127,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6837","Mont Albert","1a Hotham Ct",3,"t",1150000,"PI","Jellis","26/07/2016",11.8,3127,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6839","Mont Albert","26 Serpentine St",3,"t",1200000,"S","Jellis","27/06/2016",11.8,3127,3,2,2,255,152,2000,"Whitehorse",-37.8192,145.111
"6840","Mont Albert","3 Blenheim Av",4,"h",2025000,"PI","Jellis","27/11/2016",11.8,3127,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6841","Mont Albert","3/72 Kenmare St",4,"t",1310000,"PI","Fletchers","27/11/2016",11.8,3127,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6843","Mont Albert","47 Zetland Rd",3,"h",1564000,"S","Jellis","27/11/2016",11.8,3127,3,2,2,640,117,1950,"Whitehorse",-37.8173,145.1123
"6844","Mont Albert","35 Kingsley Cr",3,"h",1650000,"S","Jellis","28/05/2016",11.8,3127,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6848","Moonee Ponds","90 Clarinda Rd",4,"h",1715000,"S","Frank","3/12/2016",6.9,3039,4,2,3,668,146.861538586252,1970,"Moonee Valley",-37.7633,144.908
"6852","Moonee Ponds","69 Aberfeldie St",4,"h",1780000,"S","Brad","4/03/2017",6.9,3039,4,3,2,615,201,1920,"Moonee Valley",-37.7617,144.9052
"6858","Moonee Ponds","14 Scotia St",4,"h",1225000,"SP","Nelson","4/03/2017",6.9,3039,4,1,1,388,120,1920,"Moonee Valley",-37.7692,144.9057
"6859","Moonee Ponds","5 Bent St",4,"h",1445000,"S","Nelson","7/05/2016",6.9,3039,3,3,2,384,178,1920,"Moonee Valley",-37.7617,144.9272
"6860","Moonee Ponds","803/701 Mt Alexander Rd",3,"u",1475000,"S","Paul","7/05/2016",6.9,3039,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6862","Moonee Ponds","82 Argyle St",3,"h",990000,"PI","Hodges","7/11/2016",6.9,3039,3,1,2,328,107,1900,"Moonee Valley",-37.7658,144.9077
"6863","Moonee Ponds","22 Tennyson St",3,"h",1400000,"S","Nelson","7/11/2016",6.9,3039,3,2,2,597,146.861538586252,1970,"Moonee Valley",-37.761,144.9296
"6864","Moonee Ponds","76 Argyle St",3,"h",1550000,"SP","Brad","8/10/2016",6.9,3039,3,2,3,477,258,2014,"Moonee Valley",-37.7661,144.9076
"6865","Moonee Ponds","25 Buckley St",3,"h",1170000,"S","Re","8/10/2016",6.9,3039,3,1,1,443,102,1930,"Moonee Valley",-37.7585,144.928
"6866","Moonee Ponds","101 Holmes Rd",4,"h",1120000,"VB","Nelson","8/10/2016",6.9,3039,4,1,1,571,138,1915,"Moonee Valley",-37.7659,144.9116
"6867","Moonee Ponds","1/10 Scotia St",2,"u",675000,"S","Brad","8/10/2016",6.9,3039,2,1,1,206,146.861538586252,1970,"Moonee Valley",-37.7694,144.9059
"6868","Moonee Ponds","20 Scotia St",3,"h",880000,"SP","McDonald","8/10/2016",6.9,3039,3,2,2,315,146.861538586252,1970,"Moonee Valley",-37.769,144.9057
"6870","Moonee Ponds","4 Addison St",4,"h",1530000,"S","Jellis","10/09/2016",6.9,3039,3,2,1,431,152,1906,"Moonee Valley",-37.7702,144.9268
"6872","Moonee Ponds","1/31 Holberg St",3,"h",832000,"S","Jellis","10/09/2016",6.9,3039,3,2,2,214,111,1997,"Moonee Valley",-37.7709,144.9334
"6877","Moonee Ponds","50 Wilson St",4,"h",1211000,"S","Nelson","10/09/2016",6.9,3039,3,1,3,477,146,1910,"Moonee Valley",-37.7632,144.9292
"6879","Moonee Ponds","35 Eglinton St",4,"h",1395000,"PI","Brad","10/12/2016",6.9,3039,4,1,2,603,146.861538586252,1970,"Moonee Valley",-37.7692,144.917
"6881","Moonee Ponds","37 Lennox St",3,"h",1160000,"S","Nelson","10/12/2016",6.9,3039,3,1,1,449,133,1910,"Moonee Valley",-37.7674,144.9084
"6882","Moonee Ponds","36 Primrose St",3,"h",1065000,"S","McDonald","10/12/2016",6.9,3039,3,1,1,395,146.861538586252,1970,"Moonee Valley",-37.7593,144.9276
"6883","Moonee Ponds","61 Steele St",4,"h",1361500,"S","Rendina","10/12/2016",6.9,3039,4,1,2,453,145,1920,"Moonee Valley",-37.7698,144.9336
